Country,Continent,Currency,Country Code,Standard Xrate,"PPP conversion factor, GDP (LCU per international $)",PPP /Standard Xrate,"GDP per capita, PPP (current international $)",GDP per capita (current US$),"Population, total",Urban population,Urban population (% of total),Population density (people per sq. km of land area),Interent users,Internet users (per 100 people),Fixed broadband Internet subscribers,Fixed broadband Internet subscribers (per 100 people),Mobile cellular subscriptions,Mobile cellular subscriptions (per 100 people),Telephone lines,Telephone lines (per 100 people),Connection speed (Mbps)
Afghanistan,Asia,AFN,AFG,53.18,21.652,0.407,"1,139",543,"35,320,445","8,316,976",23.5,54.2,"1,617,913",4.6,0,0.0,"17,558,265",54.3,"14,745.7",0.0,#N/A
Algeria,Africa,DZD,DZA,78.90,44.191,0.560,"8,655","5,244","35,980,193","26,216,968",72.9,15.1,"5,037,227",14.0,"1,000,000",2.8,"35,615,926",99.0,"3,059,336.0",8.5,#N/A
Angola,Africa,AOA,AGO,95.00,84.214,0.886,"5,920","5,318","19,618,432","11,602,851",59.1,15.7,"2,898,820",14.8,"25,000",0.1,"9,491,000",48.4,"303,221.0",1.5,#N/A
Argentina,South America,ARS,ARG,5.12,2.574,0.503,"17,554","10,942","40,764,561","37,705,099",92.5,14.9,"19,446,326",47.7,"4,294,000",10.5,"55,000,000",134.9,"10,140,000.0",24.9,2.1
Australia,Oceania,AUD,AUS,0.96,1.557,1.622,"39,721","60,979","22,620,600","20,175,675",89.2,2.9,"17,858,528",78.9,"5,410,000",23.9,"24,490,000",108.3,"10,546,932.3",46.6,4.3
Austria,Europe,EUR,AUT,0.78,0.846,1.085,"42,196","49,609","8,419,000","5,696,918",67.7,102.1,"6,713,916",79.7,"2,229,000",26.5,"13,022,578",154.8,"3,390,243.4",40.3,6.5
Azerbaijan,Asia,AZN,AZE,0.80,0.542,0.678,"10,067","6,916","9,168,000","4,918,155",53.6,111.0,"4,653,012",50.8,"998,335",10.7,"10,120,105",108.7,"1,658,901.5",18.1,#N/A
Bangladesh,Asia,BDT,BGD,80.00,29.793,0.372,"1,777",743,"150,493,658","42,725,450",28.4,"1,156.1","7,524,683",5.0,"65,000",0.0,"85,000,000",56.5,"1,600,000.0",1.1,#N/A
Belarus,Europe,BYR,BLR,"8,680.00","1,938.289",0.223,"14,938","5,820","9,473,000","7,106,796",75.0,46.7,"3,785,539",40.0,"2,097,264",21.9,"10,694,900",111.9,"4,169,927.5",44.0,#N/A
Belgium,Europe,EUR,BEL,0.78,0.867,1.111,"38,768","46,663","11,008,000","10,731,193",97.5,363.5,"8,388,164",76.2,"3,543,759",33.0,"12,540,603",116.6,"4,740,429.2",43.1,6.7
Benin,Africa,XOF,BEN,511.67,233.968,0.457,"1,617",802,"9,099,922","4,086,648",44.9,82.3,"318,497",3.5,"3,897",0.0,"7,765,206",85.3,"152,715.0",1.7,#N/A
Bolivia,South America,BOB,BOL,6.96,3.230,0.464,"5,099","2,374","10,088,108","6,740,006",66.8,9.3,"3,026,432",30.0,"71,819",0.7,"8,353,273",82.8,"879,759.0",8.7,#N/A
Brazil,South America,BRL,BRA,2.02,1.810,0.896,"11,640","12,594","196,655,014","166,376,435",84.6,23.2,"88,494,756",45.0,"16,831,584",8.6,"242,231,503",123.2,"43,025,835.0",21.9,2.3
Bulgaria,Europe,BGN,BGR,1.53,0.679,0.444,"14,825","7,158","7,476,000","5,463,580",73.1,68.9,"3,797,529",50.8,"1,154,781",15.5,"10,475,083",140.7,"2,320,087.2",31.0,#N/A
Burkina Faso,Africa,XOF,BFA,511.67,217.822,0.426,"1,301",600,"16,967,845","4,498,006",26.5,62.0,"509,035",3.0,"14,063",0.1,"7,682,100",45.3,"141,529.0",0.8,#N/A
Burundi,Africa,BIF,BDI,"1,650.00",566.407,0.343,604,271,"8,575,172","937,095",10.9,333.9,"95,184",1.1,0,0.0,"1,240,000",14.5,0.0,0.0,#N/A
Cambodia,Asia,KHR,KHM,"4,103.00","1,543.310",0.376,"2,358",897,"14,305,183","2,861,466",20.0,81.0,"443,461",3.1,"22,000",0.2,"10,000,000",69.9,"530,000.0",3.7,#N/A
Cameroon,Africa,XAF,CMR,511.67,252.033,0.493,"2,359","1,260","20,030,362","10,432,814",52.1,42.4,"1,001,518",5.0,"1,100",0.0,"10,486,614",52.4,"668,965.0",3.3,#N/A
Canada,North America,CAD,CAN,1.02,1.235,1.210,"40,370","50,345","34,482,779","27,814,430",80.7,3.8,"28,510,136",82.7,"11,000,000",32.0,"25,858,318",75.3,"16,501,751.5",47.9,6.7
