Country,"Cost per GB, excl conn (US$ PPP)",Country Code
Afghanistan,73.78,AFG
Afghanistan,56.37,AFG
Afghanistan,33.01,AFG
Afghanistan,19.61,AFG
Afghanistan,16.15,AFG
Afghanistan,8.08,AFG
Afghanistan,#VALUE!,AFG
Afghanistan,#VALUE!,AFG
Afghanistan,#VALUE!,AFG
Algeria,"2,703.40",DZA
Algeria,101.96,DZA
Algeria,#VALUE!,DZA
Algeria,#VALUE!,DZA
Algeria,#VALUE!,DZA
Algeria,46.34,DZA
Angola,8.55,AGO
Angola,8.55,AGO
Angola,8.55,AGO
Angola,10.69,AGO
Angola,9.73,AGO
Angola,14.25,AGO
Angola,60.8,AGO
Angola,60.8,AGO
Angola,45.6,AGO
Angola,38,AGO
Angola,25.33,AGO
Angola,32.06,AGO
Angola,26.72,AGO
Angola,21.37,AGO
Argentina,34.96,ARG
Argentina,16.83,ARG
Argentina,12.43,ARG
Argentina,7.77,ARG
Argentina,7.96,ARG
Argentina,38.98,ARG
Argentina,34.57,ARG
Argentina,#VALUE!,ARG
Argentina,26.81,ARG
Argentina,16.7,ARG
Argentina,7.73,ARG
Argentina,3.88,ARG
Argentina,3.69,ARG
Argentina,7.64,ARG
Australia,6.41,AUS
Australia,3.2,AUS
Australia,2.24,AUS
Australia,2.35,AUS
Australia,2.41,AUS
Australia,21.92,AUS
Australia,19.27,AUS
Australia,8.56,AUS
Australia,8.03,AUS
Australia,6.42,AUS
Australia,5.57,AUS
Australia,16.06,AUS
Australia,5.62,AUS
Australia,4.01,AUS
Australia,4.07,AUS
Australia,25.69,AUS
Australia,8.03,AUS
Australia,5.22,AUS
Australia,4.71,AUS
Australia,52.61,AUS
Australia,28.18,AUS
Australia,25.69,AUS
Australia,10.7,AUS
Australia,12.84,AUS
Australia,10.7,AUS
Australia,9.63,AUS
Australia,6.1,AUS
Australia,3.1,AUS
Australia,2.09,AUS
Australia,2.25,AUS
Australia,6.58,AUS
Australia,6.42,AUS
Australia,6.42,AUS
Australia,6.42,AUS
Australia,21.92,AUS
Australia,15.03,AUS
Austria,4.73,AUT
Austria,0.53,AUT
Austria,#VALUE!,AUT
Austria,#VALUE!,AUT
Austria,#VALUE!,AUT
Austria,4.73,AUT
Austria,0.53,AUT
Austria,#VALUE!,AUT
Austria,#VALUE!,AUT
Austria,2.99,AUT
Austria,1.97,AUT
Austria,1.57,AUT
Austria,1.44,AUT
Austria,8.15,AUT
Austria,3.9,AUT
Austria,6.68,AUT
Austria,1.9,AUT
Austria,1.08,AUT
Austria,23.63,AUT
Austria,34.85,AUT
Austria,1.38,AUT
Austria,0.98,AUT
Austria,1.05,AUT
Austria,1.53,AUT
Azerbaijan,62.92,AZE
Azerbaijan,37.75,AZE
Azerbaijan,18.88,AZE
Azerbaijan,18.43,AZE
Azerbaijan,7.37,AZE
Azerbaijan,3.69,AZE
Azerbaijan,4.53,AZE
Azerbaijan,2.37,AZE
Azerbaijan,3.69,AZE
Azerbaijan,7.55,AZE
Azerbaijan,47.19,AZE
Azerbaijan,31.46,AZE
Azerbaijan,15.73,AZE
Azerbaijan,12.58,AZE
Azerbaijan,8.3,AZE
Azerbaijan,4.06,AZE
Azerbaijan,7.37,AZE
Azerbaijan,2.95,AZE
Azerbaijan,2.21,AZE
Azerbaijan,1.84,AZE
Azerbaijan,15.1,AZE
Azerbaijan,2.46,AZE
Bangladesh,11.58,BGD
Bangladesh,10.61,BGD
Bangladesh,9.65,BGD
Bangladesh,5.02,BGD
Bangladesh,5.79,BGD
Bangladesh,10.61,BGD
Bangladesh,32.61,BGD
Bangladesh,59.29,BGD
Bangladesh,35.93,BGD
Bangladesh,39.53,BGD
Bangladesh,13.18,BGD
Bangladesh,39.53,BGD
Bangladesh,#VALUE!,BGD
Bangladesh,9.23,BGD
Bangladesh,28.64,BGD
Bangladesh,31.25,BGD
Bangladesh,8.59,BGD
Bangladesh,34.37,BGD
Bangladesh,54.99,BGD
Bangladesh,68.74,BGD
Bangladesh,9.23,BGD
Bangladesh,7.55,BGD
