Country	Country Code	2013 Cost/GB ($US PPP)	2014 Cost/GB ($US PPP)	$ Change	% Change	Note
Afghanistan	AFG	$8.08	$7.68	-$0.40	-5%	
Algeria	DZA	$46.34	$25.65	-$20.69	-45%	
Angola	AGO	$8.55	$6.20	-$2.35	-28%	
Argentina	ARG	$3.69	$1.64	-$2.05	-56%	
Australia	AUS	$2.09	$3.86	$1.77	85%	
Austria	AUT	$0.53	$1.40	$0.87	165%	
Azerbaijan	AZE	$1.84	$2.24	$0.40	22%	
Bangladesh	BGD	$4.70	$3.12	-$1.58	-34%	
Belarus	BLR	$4.17	$0.67	-$3.50	-84%	
Belgium	BEL	$6.92	$7.07	$0.15	2%	
Benin	BEN	$14.25	$12.17	-$2.08	-15%	
Bolivia	BOL	$3.17	$2.97	-$0.20	-6%	
Brazil	BRA	$6.07	$4.23	-$1.84	-30%	
Bulgaria	BGR	$1.96	$3.01	$1.05	54%	
Burkina Faso	BFA		$7.81	N/A	N/A	NO 2013 DATA
Cambodia	KHM	$2.27	$2.26	-$0.01	-1%	
Cameroon	CMR	$81.26	$19.40	-$61.86	-76%	
Canada	CAN	$4.86	$5.71	$0.85	17%	
Chad	TCD	$39.15	$40.40	$1.25	3%	
Chile	CHL	$4.96	$5.93	$0.97	19%	
China	CHN	$9.55	$4.72	-$4.83	-51%	
Colombia	COL	$6.59	$6.45	-$0.14	-2%	
Cote d'Ivoire	CIV	$2.48	$2.46	-$0.02	-1%	
Czech Republic	CZE	$1.68	$2.11	$0.43	26%	
Denmark	DNK	$0.05	$0.05	$0.00	3%	
Dominican Rep.	DOM	$3.23	$3.09	-$0.14	-4%	
Ecuador	ECU	$19.35	$10.73	-$8.62	-45%	
Egypt	EGY	$4.74	$4.24	-$0.50	-11%	
El Salvador	SLV	$2.31	$2.77	$0.46	20%	
Ethiopia	ETH	$33.81	$25.40	-$8.41	-25%	
Finland	FIN	$0.53	$1.07	$0.54	101%	
France	FRA	$4.60	$1.46	-$3.14	-68%	
Germany	DEU	$0.61	$2.95	$2.34	384%	
Ghana	GHA	$7.88	$6.99	-$0.89	-11%	
Greece	GRC	$1.16	$2.21	$1.05	90%	
Guatemala	GTM	$2.04	$2.88	$0.84	41%	
Haiti	HTI	$50.99	$3.74	-$47.25	-93%	
Honduras	HND	$3.81	$3.66	-$0.15	-4%	
