Country,"Cost per GB, excl conn (US$ PPP)",Country Code
"Canada",4.86,CAN
"Cambodia",2.27,KHM
"Slovak Republic",3.37,SVK
"Argentina",3.69,ARG
"Bolivia",3.17,BOL
"Cameroon",81.26,CMR
"Ghana",7.88,GHA
"Saudi Arabia",6.24,SAU
"Guatemala",2.04,GTM
"China",9.55,CHN
"Spain",4.88,ESP
"Netherlands",5.63,NLD
"Tanzania",7.23,TZA
"Yemen",4.73,YEM
"Pakistan",0.55,PAK
"Ethiopia",33.81,ETH
"United Arab Emirates",5.71,ARE
"Viet Nam",5.81,VNM
"Azerbaijan",1.84,AZE
"Kenya",9.51,KEN
"Tajikistan",9.2,TJK
"Turkey",4.73,TUR
"Afghanistan",8.08,AFG
"Czech Republic",1.68,CZE
"India",4.07,IND
"France",4.6,FRA
"Rwanda",2.38,RWA
"Peru",7.73,PER
"Malawi",31.24,MWI
"Benin",14.25,BEN
"Singapore",0.26,SGP
"Korea (South)",6.09,KOR
"Taiwan, China",8.28,TWN
"Germany",0.61,DEU
"Ukraine",1.86,UKR
"Finland",0.53,FIN
"Dominican Rep.",3.23,DOM
"Indonesia",3.76,IDN
"United States",6.5,USA
"Sweden",0.33,SWE
"Belarus",4.17,BLR
"Mali",23.06,MLI
"Russia",2.49,RUS
"Bulgaria",1.96,BGR
"Romania",0.32,ROM
"Angola",8.55,AGO
"Chad",39.15,TCD
"South Africa",9.26,ZAF
"Malaysia",1.73,MYS
"Austria",0.53,AUT
"Mozambique",10.46,MOZ
"Uganda",11.29,UGA
"Japan",8.01,JPN
"Niger",6.17,NER
"Brazil",6.07,BRA
"Nigeria",9.81,NGA
"Ecuador",19.35,ECU
"Bangladesh",4.7,BGD
"Australia",2.09,AUS
"Algeria",46.34,DZA
"El Salvador",2.31,SLV
"Chile",4.96,CHL
"Belgium",6.92,BEL
"Thailand",8.08,THA
"Haiti",50.99,HTI
"Iraq",14.49,IRQ
"Sierra Leone",29.7,SLE
"Denmark",0.05,DNK
"Philippines",6.69,PHL
"Morocco",1.2,MAR
"Switzerland",2.07,CHE
"Portugal",9.08,PRT
"Uzbekistan",9.21,UZB
"Tunisia",3.09,TUN
"Colombia",6.59,COL
"Nicaragua",5.35,NIC
"Madagascar",6.15,MDG
"Italy",1.51,ITA
"Sudan",3.4,SDN
"Nepal",8.36,NPL
"Lao P.D.R.",4.48,LAO
"Venezuela",17.19,VEN
"Israel",2.47,ISR
"Zambia",9.34,ZMB
"Senegal",2.48,SEN
"Papua New Guinea",70.34,PNG
"Cote d'Ivoire",2.48,CIV
"Jordan",1.47,JOR
"Kazakhstan",2.62,KAZ
"Poland",1.6,POL
"Kyrgyzstan",22.98,KGZ
"Paraguay",3.01,PRY
"Hungary",2.3,HUN
"Hong Kong, China",5.52,HKG
"Honduras",3.81,HND
"Mexico",6.92,MEX
"Egypt",4.74,EGY
"Serbia",2.05,SRB
"United Kingdom",1.57,GBR
"Greece",1.16,GRC
"Sri Lanka",2.22,LKA
