Country,"Cost per GB, excl conn (US$ PPP)",Country Code
Uganda,42232.12863,UGA
Uganda,27333.64268,UGA
Syria,26736.36334,SYR
Uganda,21865.22113,UGA
South Africa,14724.47162,ZAF
Uganda,14411.74564,UGA
Singapore,12059.90765,SGP
Bangladesh,10646.82992,BGD
United Kingdom,7749.163479,GBR
"Hong Kong, China",5628.491936,HKG
Algeria,2449.02951,DZA
Mexico,2108.331873,MEX
Mexico,1990.22298,MEX
Iran (Islamic Rep. of),1575.013527,IRN
Iran (Islamic Rep. of),1177.387161,IRN
Iran (Islamic Rep. of),941.1351321,IRN
Zambia,912.2247559,ZMB
Indonesia,623.4877822,IDN
Mexico,531.6662983,MEX
Angola,424.2152551,AGO
Angola,422.875628,AGO
Canada,416.9923822,CAN
Honduras,382.6515045,HND
Honduras,382.6515045,HND
Honduras,358.7357855,HND
"Taiwan, China",325.788776,TWN
Angola,317.2683566,AGO
Iran (Islamic Rep. of),315.0027054,IRN
Bulgaria,309.5172873,BGR
Mexico,305.8491471,MEX
"Taiwan, China",290.0184107,TWN
Togo,288.9132181,TGO
Honduras,286.9886284,HND
South Africa,280.8251228,ZAF
Angola,264.4089031,AGO
Pakistan,248.9567909,PAK
Togo,241.0535558,TGO
Bulgaria,239.3572319,BGR
Burkina Faso,235.3356581,BFA
Iran (Islamic Rep. of),229.7693194,IRN
United States,204.8,USA
South Africa,197.0173568,ZAF
Bulgaria,180.1312111,BGR
Nigeria,179.07862,NGA
Angola,176.2726021,AGO
Niger,175.8553204,NER
South Africa,167.7411807,ZAF
South Africa,167.7411807,ZAF
Canada,166.9689085,CAN
Benin,166.3202618,BEN
Tajikistan,166.108832,TJK
"Taiwan, China",162.894388,TWN
Yemen,156.0724605,YEM
South Africa,155.8045424,ZAF
South Africa,155.8045424,ZAF
Hungary,154.6494002,HUN
Zimbabwe,153.6,ZWE
Malawi,152.4458826,MWI
Bulgaria,149.5252595,BGR
Bulgaria,149.5252595,BGR
Syria,142.9803713,SYR
Syria,142.9803713,SYR
Syria,142.5939378,SYR
Syria,142.5939378,SYR
Syria,142.5939378,SYR
Syria,142.5939378,SYR
Syria,142.5539359,SYR
Syria,142.4973295,SYR
Burkina Faso,141.7960234,BFA
Malawi,139.3790927,MWI
Nigeria,139.3433037,NGA
Benin,138.6002182,BEN
United Arab Emirates,138.4399045,ARE
United Arab Emirates,138.3891009,ARE
United States,136.5333333,USA
Ecuador,136.4383463,ECU
Zambia,136.2740165,ZMB
Tanzania,136.1919869,TZA
Honduras,135.4601273,HND
Nigeria,134.4887628,NGA
Honduras,133.4582535,HND
Malawi,130.6678994,MWI
